population size	300
num generation	300
F	1
CR	0.5
N	8
 
final param	421.060228631083	421.1570061796189	421.039989967832	420.6554080780362	421.2485678075658	420.989979013935	420.8722873268123	420.67483265655864
final score	0.0406693231305
